CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
True,CARMAL MATHA,CARMAL MATHA,,TN-2/FV01675/13,Fishing Vessel,Lines unspecified,India,,,,,,,,,"Anthony J, s/o Joseph",Mr Antony,,2017-05 - ,Fishing without a license in the waters of the UK (OT),2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
False,CARMEN,Carmen,8522030,M-01037,Fishing Vessel,,,4LSK,,1898.000,690,62.260,198503,9.220,"VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 669, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2011,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
False,CEFEY,Cefey,7700104,,Cargo vessel,,Russia,UGAU,,1727.000,2175,78.110,197807,7.520,"Buesumer Werft GmbH - Buesum (Hull) Yard/hull No.: 269, Germany, Federal Republic Of",Rybprom-3 JSC (ZAO 'Rybprom-3'),Rybprom-3 JSC (ZAO 'Rybprom-3'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2005-04-13 - 2009-11-13,"OBS with Panamanian Flag call sign: HP8520, OBS by NOR transhipping the in NEAFC Regulatory Area",2007-02-18 - 2009-11-13,,,,,,,,,,,
True,CEVAHIR,GALA I,8133839,,"Fishing Vessel, Research Survey Vessel",Purse seine,Unknown,,,104.000,0,23.750,,4.000,"Jachtbouw en Constructiebedrijf Marcon - Hoogezand, Netherlands",Trade & Trade Yachting Ltd,Trade & Trade Yachting Ltd,In Service/commission,,,2008-11-24 - ,Use of fraudulent documentation,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,CHALLENGE,Challenge,6622642,37571PEXT,Fishing Vessel,,Panama,HO5381,,900.000,1145,45.700,1966,7.010,"Vigo, Barreras S.A., Hijos De J. (Vigo , Spain)",Advantage Company SA,Juan A Argibay Perez,Continued Existence In Doubt,,,,,,,,,2006-11-03 - ,Inside Division 58.4.3b; 58.4.3b; 58.4.3b; 58.4.3b,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,,
True,CHI TONG,Chi Tong,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
False,CHIA YU 3,Yu Long 33,,,,,Unknown,,,55.000,,22.100,2002,1.700,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,COMET,Comet,8324139,,Fishing Vessel,,Unknown,,,1007.000,853,62.820,198403,6.810,"Narasaki Zosen K.K., Japan",Credraf Associates SA,Jose Manuel Salgueiro,In Service/commission,,,,,,,,,2006-11-03 - 2008-11-07,Fishing inside Division 58.4.3b,2007-10-31 - 2008-11-07,,,,,,,,,,,,,,,,,
False,CONCHITA VI,Conchita VI,,,,,Belize,V3TB7,,79.000,,23.800,2002,2.000,Shing Sheng Fa Boatbuilding Co. Ltd,Primero Fishery Co. Ltd,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,CRYSTAL CROWN,Ocean Explorer,7826245,,Fishing Vessel,Purse seine,Thailand,HSB3333,,2685.000,1749,84.990,198012,9.220,"ul Marynarki Polskiej 177, 80-958 Gdansk, Poland","THAI TUNA FISHING Co., Ltd.",International Fishing Corp Pte Ltd,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
